age,overall,pace,shooting,passing,dribbling,defending,physicality,height_cm,weight_kg,international_reputation,weak_foot,skill_moves,wage_eur,release_clause_eur,value_eur,player_positions
24,72,32,34,20,89,89,73,192,68,4,3,3,74927,8628240,15046306,Goalkeeper
22,88,55,20,26,42,75,57,196,87,3,3,4,114821,7447048,16959251,Goalkeeper
33,66,86,30,36,61,67,42,160,60,1,3,4,81774,6282267,12380510,Defender
19,83,53,74,62,56,69,72,190,95,4,3,4,107294,12099330,18047715,Goalkeeper
29,90,82,21,90,91,11,59,166,61,3,1,3,105493,5510333,17617814,Midfielder
33,78,72,84,36,25,45,55,182,97,3,2,4,65223,5831816,13735717,Defender
24,58,89,63,78,56,79,92,183,85,4,4,4,54033,6404351,12892356,Goalkeeper
36,62,87,35,22,41,69,86,173,90,2,1,2,79483,8657729,12306576,Defender
17,55,78,41,48,25,32,93,182,78,1,2,4,58704,6832674,10198237,Defender
35,55,71,37,41,51,56,78,168,90,2,5,2,31279,4286170,9093418,Defender
30,69,95,66,57,36,55,81,167,68,4,2,2,58311,8524741,14267783,Defender
22,52,40,49,73,57,89,92,167,62,4,2,2,46517,3954225,11457595,Defender
27,66,47,29,69,36,53,42,162,97,5,2,3,61718,2295775,13911898,Defender
23,61,81,77,88,56,28,74,191,65,5,1,1,56192,7311817,13729858,Goalkeeper
30,94,75,81,49,42,58,75,163,66,4,2,5,99006,4371700,18176170,Defender
18,50,73,25,42,68,67,70,197,84,5,2,4,61371,3457232,13186891,Goalkeeper
29,66,51,86,66,80,16,75,161,84,3,5,5,47040,5098199,12035904,Attacker
32,52,82,60,40,68,50,30,168,60,2,5,1,37078,4430384,8927649,Attacker
19,75,88,62,39,80,87,97,160,81,4,3,2,82032,9298956,15679979,Defender
33,64,59,96,42,96,24,41,170,79,3,1,2,61474,5078924,12694500,Attacker
23,85,37,37,87,51,85,64,188,72,1,2,2,82671,11587832,13777036,Goalkeeper
19,81,86,77,40,82,62,62,185,99,1,3,2,89468,11618632,14767055,Goalkeeper
17,81,49,79,40,26,32,87,186,80,5,3,4,87685,9613950,16640061,Goalkeeper
21,53,54,46,20,41,86,64,197,82,5,1,1,52142,4324088,12395250,Goalkeeper
37,67,48,87,34,25,82,75,188,92,3,3,1,48686,4170399,11344843,Goalkeeper
25,68,34,41,36,80,74,95,192,68,1,3,1,81135,4147296,11882082,Goalkeeper
19,92,56,43,70,33,69,73,187,88,4,1,5,92142,11385489,17448476,Goalkeeper
37,84,69,59,82,35,19,55,190,91,2,4,2,117467,15730664,15956511,Goalkeeper
33,89,55,93,33,22,67,71,178,70,5,3,3,128702,16637796,19862938,Defender
27,63,56,85,78,28,56,59,185,95,3,5,1,86300,8254746,13741682,Goalkeeper
17,82,91,59,69,66,24,61,188,88,5,3,5,111605,14570360,18910865,Goalkeeper
25,63,79,25,53,61,18,65,170,90,3,1,4,41977,5240788,11483859,Defender
19,83,71,37,25,61,22,48,191,73,1,1,2,91124,11835469,14349867,Goalkeeper
29,53,58,49,68,42,32,51,180,84,5,4,5,54214,8014564,12649945,Defender
31,73,68,40,25,22,42,94,197,85,3,4,3,74619,9491537,13724202,Goalkeeper
30,78,89,81,88,20,18,86,193,81,3,5,3,108272,6765137,16529798,Goalkeeper
23,68,70,29,26,86,12,40,199,68,5,5,4,83937,10786202,16061647,Goalkeeper
29,55,62,32,96,90,82,55,181,92,2,3,1,67281,5051202,11633077,Defender
23,82,45,95,70,22,34,77,186,82,4,4,1,93622,8607893,16832882,Goalkeeper
36,89,52,28,20,68,80,48,167,94,1,5,5,82137,10313774,14477307,Defender
31,68,36,87,32,86,45,41,199,79,5,3,5,74949,5097001,15239904,Goalkeeper
28,50,55,58,62,74,29,96,190,92,5,2,1,55905,1852131,12545634,Goalkeeper
33,54,41,43,46,23,90,85,160,94,2,3,1,54518,6333756,9285915,Defender
30,76,34,53,90,50,63,47,198,89,1,5,5,79125,10939893,13236971,Goalkeeper
36,65,98,80,22,85,28,34,193,89,5,3,2,86309,12199484,16128100,Goalkeeper
28,55,78,60,77,97,69,53,183,81,2,2,3,49379,6215296,11040342,Goalkeeper
24,89,55,24,36,83,46,67,187,60,4,5,3,109194,15529258,18864667,Goalkeeper
30,62,34,98,64,50,12,96,163,74,3,3,4,85798,11023218,14201836,Attacker
28,84,51,69,97,82,28,81,177,84,4,5,3,84235,2831297,16731574,Midfielder
16,68,42,23,77,85,62,68,188,79,4,3,5,71730,5161594,14855266,Goalkeeper
22,61,57,70,75,50,55,88,182,66,4,1,2,44181,3107371,12943415,Defender
24,65,62,71,73,66,89,55,196,75,4,5,5,61700,3473692,13982498,Goalkeeper
16,92,52,58,48,41,65,94,186,82,3,5,1,100296,12612467,17800892,Goalkeeper
27,59,47,27,73,93,79,77,175,80,1,5,1,76864,7103062,11208822,Defender
23,74,59,64,46,65,40,82,186,60,1,5,3,88657,11556858,13462943,Goalkeeper
26,69,55,47,64,77,62,38,168,79,2,3,2,55882,5709012,12088901,Defender
34,80,45,46,50,80,43,34,164,78,2,4,4,104856,10577152,14757828,Defender
32,53,68,84,55,65,40,90,167,65,5,3,5,32358,2462373,11729102,Attacker
23,93,62,53,80,20,69,50,177,97,4,2,4,114019,14224138,19254498,Defender
18,72,55,81,56,44,20,92,194,91,4,1,4,96107,10761196,16284219,Goalkeeper
18,51,77,81,86,80,15,49,165,60,3,3,4,60764,4292990,12198695,Midfielder
16,71,94,57,55,33,36,87,182,89,4,3,4,87288,13025883,15420039,Defender
20,86,67,45,24,64,16,74,185,75,3,5,5,94916,8118611,16566738,Goalkeeper
25,57,31,43,65,96,58,51,198,86,5,2,1,57172,3887171,13040925,Goalkeeper
22,56,35,58,98,58,81,92,183,77,2,5,5,63233,7115936,11791800,Goalkeeper
24,63,75,40,71,85,69,59,169,72,2,5,1,76058,4315294,12928356,Defender
22,52,79,66,68,51,42,92,174,87,5,4,1,76488,9918756,13929626,Defender
24,65,67,67,25,77,56,73,197,69,5,1,5,78187,8729080,15367570,Goalkeeper
23,68,47,32,29,75,53,96,179,73,4,4,5,65403,8790676,14611036,Defender
27,67,56,22,42,25,88,87,188,88,2,5,5,63030,4379712,11572262,Goalkeeper
17,65,70,51,36,86,36,94,165,70,1,1,1,77185,10229410,12449359,Defender
16,57,46,54,63,69,31,65,168,86,5,3,5,57227,5156824,13868766,Defender
31,82,91,38,60,57,56,35,164,76,2,2,2,103602,3843505,15996445,Defender
20,61,58,33,34,22,57,66,198,62,2,4,3,59924,3193967,11341950,Goalkeeper
18,60,87,67,63,24,39,84,178,90,3,2,3,84503,4742130,13698803,Defender
27,54,51,87,77,43,11,88,164,80,2,5,2,33264,4063494,8857918,Attacker
23,76,35,64,69,73,24,67,179,92,5,1,3,98854,5375191,17171816,Midfielder
37,61,55,38,71,53,56,54,170,60,4,3,1,71383,6954850,12969003,Defender
18,66,68,83,89,58,36,62,186,65,2,1,5,46971,5087196,11673796,Goalkeeper
16,55,41,85,87,67,80,42,188,63,1,2,5,58853,7230849,10954148,Goalkeeper
18,82,43,98,82,68,36,67,166,81,5,2,5,100687,12491795,18298116,Attacker
20,54,51,85,77,53,94,87,162,72,4,3,2,54898,6374341,12023906,Defender
30,77,80,94,42,26,22,49,164,89,4,3,2,71293,3962611,14884376,Attacker
29,63,52,64,63,37,64,46,172,99,5,1,1,53528,5096739,13675376,Defender
18,54,77,93,63,89,26,53,175,85,4,4,2,38482,2494416,11966193,Attacker
16,82,79,86,71,53,84,55,171,98,1,1,5,87791,10799320,14648535,Defender
20,90,42,88,86,70,68,69,198,98,2,2,1,126015,15092959,17561686,Goalkeeper
29,68,39,22,47,87,19,61,186,66,5,1,1,57749,3323900,13994915,Goalkeeper
22,71,84,57,86,33,42,66,192,73,2,5,5,89978,9624148,14698106,Goalkeeper
24,54,38,96,97,88,87,89,174,85,2,1,4,74071,2741467,12387920,Defender
30,51,81,61,37,27,46,86,180,77,4,1,5,64660,7903120,12629518,Defender
30,79,31,59,46,34,17,87,176,83,5,5,1,90398,11175384,16877799,Defender
25,88,54,69,70,78,42,96,196,84,2,2,4,113141,8105582,17572675,Goalkeeper
28,53,42,54,79,30,16,51,174,91,3,3,5,48979,6208126,11179019,Midfielder
34,82,80,43,93,39,43,87,179,65,1,1,5,71219,9471821,12528138,Defender
22,62,87,36,68,74,80,78,178,75,4,4,4,40786,2153783,12704181,Defender
32,69,63,59,34,55,16,78,160,62,5,3,4,60602,4369853,14418919,Attacker
35,56,64,93,92,33,50,71,163,80,5,4,3,34996,2146293,11946973,Midfielder
19,64,32,85,87,77,64,69,162,91,4,1,4,72887,5460912,14436564,Defender
20,72,88,63,34,57,16,75,167,61,2,4,2,77460,6477863,13359853,Attacker
22,63,77,42,70,20,93,51,164,79,4,3,4,41036,3742329,11446623,Defender
28,72,93,25,67,84,27,50,168,70,5,4,1,98609,3373654,17177456,Midfielder
30,68,48,85,91,20,52,80,160,77,3,4,4,67417,2468807,12786317,Defender
26,78,96,40,20,79,87,43,189,70,2,3,5,78039,8477232,14452580,Goalkeeper
19,69,34,54,26,44,49,38,166,94,4,3,2,61544,5116089,13479893,Defender
28,78,96,48,72,29,62,47,181,95,5,3,4,105216,4289499,18367423,Defender
22,73,40,26,50,69,23,42,179,97,5,3,2,83319,6361204,16628856,Defender
34,67,97,72,37,31,30,46,188,71,5,5,3,50890,4430452,13654463,Goalkeeper
37,59,98,56,31,51,66,54,186,90,3,1,2,76829,8164680,12816025,Goalkeeper
17,90,30,42,67,52,55,83,184,95,2,3,5,100729,4452182,16256210,Goalkeeper
25,57,92,27,49,91,35,45,194,89,4,2,3,80652,12047514,14418538,Goalkeeper
28,75,58,95,26,45,33,53,186,63,2,4,4,73033,6351290,13218225,Goalkeeper
36,78,41,67,22,61,14,52,170,61,5,3,2,98934,11050420,17195413,Attacker
21,59,70,29,82,69,51,70,176,72,3,3,3,39576,5500517,10846426,Defender
27,66,31,98,25,80,52,62,190,85,3,1,4,77775,2630257,13878505,Goalkeeper
27,51,66,43,34,60,41,71,177,88,5,3,4,58342,5960398,13508768,Defender
35,55,74,66,90,76,15,77,178,95,2,5,2,71811,6810748,11536416,Midfielder
26,54,77,72,62,21,83,47,197,87,2,2,2,65343,2410425,11076979,Goalkeeper
22,77,53,58,37,89,76,92,188,67,3,2,3,97136,10992233,16150988,Goalkeeper
16,90,51,86,41,50,16,40,174,64,1,3,2,127609,7209128,17572718,Attacker
16,54,40,85,80,42,38,53,166,91,3,1,4,68076,7776034,12857564,Midfielder
35,67,87,25,80,95,43,90,196,89,3,3,5,48925,3596745,12693560,Goalkeeper
28,75,75,40,72,73,16,93,196,73,4,4,3,59574,7292759,14409892,Goalkeeper
24,69,58,92,45,47,90,65,166,69,3,2,5,71746,10260493,14746077,Defender
18,90,64,93,59,98,86,82,181,69,1,4,5,113422,15114787,17202220,Defender
22,76,44,55,27,38,67,76,171,65,3,5,4,88834,7809292,15227179,Defender
21,61,89,22,40,95,94,81,167,75,2,2,5,59520,3394589,12368681,Defender
23,56,71,97,62,67,40,86,177,85,4,2,1,56973,8494151,12800020,Attacker
24,52,72,61,40,21,82,52,187,80,4,5,3,33865,3696020,11423966,Goalkeeper
20,59,78,64,22,30,54,88,177,95,3,4,4,76397,5921861,13052754,Defender
16,83,93,63,50,63,56,98,190,89,4,3,2,111138,9756010,18250903,Goalkeeper
34,74,61,52,46,78,86,85,176,64,4,1,4,79262,3595850,14919228,Defender
25,84,93,79,46,78,90,71,182,69,3,4,2,93556,8479452,16360207,Defender
27,65,31,89,92,57,81,47,170,90,1,5,4,83954,4263162,12203277,Defender
30,51,53,96,76,44,82,62,174,70,3,5,1,66373,4904265,11655840,Defender
37,73,95,45,52,40,82,32,189,97,2,5,3,68653,6110943,12631033,Goalkeeper
24,59,67,40,63,61,49,57,190,66,5,2,5,48799,7014165,13563158,Goalkeeper
35,87,60,21,62,55,39,30,165,71,1,3,4,124550,13073162,16333232,Defender
32,71,55,66,50,28,71,92,171,67,3,2,3,89670,6691787,14739623,Defender
32,75,58,49,84,31,80,76,182,87,1,2,3,71388,3110426,12153068,Defender
35,92,96,46,95,29,26,66,198,75,5,2,3,125112,14971231,20553583,Goalkeeper
27,88,54,90,36,78,14,77,199,62,4,5,3,102292,8799397,17872747,Goalkeeper
22,76,77,39,34,24,90,48,195,96,4,4,3,91731,3502162,15934532,Goalkeeper
17,78,94,69,53,52,10,43,194,91,5,1,5,101130,11005467,17758384,Goalkeeper
18,87,82,42,23,88,89,96,162,80,4,1,5,108311,7799761,18225423,Defender
32,69,96,32,91,82,90,94,187,77,1,3,4,70228,5510577,12453333,Goalkeeper
20,76,47,23,98,48,40,55,174,70,4,3,2,84379,11025167,15294528,Defender
32,90,38,33,47,37,44,39,172,67,5,5,4,128063,5951982,20198965,Defender
32,69,67,39,92,25,81,72,178,71,5,1,3,66614,4719267,14518385,Defender
32,93,50,32,21,72,39,88,199,61,5,4,2,107710,7931783,18928800,Goalkeeper
17,68,94,22,36,51,94,32,177,81,2,5,4,83265,2531216,13911747,Defender
17,69,50,97,77,61,24,34,190,68,1,3,2,77634,10204171,12975207,Goalkeeper
37,84,56,66,93,66,65,66,196,73,5,5,5,89081,11601687,17233636,Goalkeeper
20,51,73,22,28,50,69,81,180,74,1,3,3,37763,4132040,8132651,Defender
16,79,57,20,50,81,36,95,198,70,2,1,2,72147,9947116,13726206,Goalkeeper
16,83,74,43,85,75,11,92,164,72,1,5,1,115227,7230078,16373944,Midfielder
34,71,46,54,81,30,83,36,176,87,3,2,3,76658,4329309,13759754,Defender
17,52,69,33,38,45,73,82,178,84,2,3,5,59365,2269078,11353733,Defender
36,55,32,86,93,46,14,35,163,96,2,2,5,56585,5717435,10325894,Midfielder
27,64,95,32,74,76,77,36,185,65,4,3,4,51496,4612118,12977837,Goalkeeper
21,76,75,66,47,46,22,73,183,96,5,2,1,89845,11432556,16834524,Goalkeeper
19,59,59,69,69,78,90,47,198,92,2,1,2,69097,6063568,11811397,Goalkeeper
26,58,98,97,84,81,94,83,197,84,1,1,4,42640,2319119,9679984,Goalkeeper
32,82,38,45,22,39,32,58,178,82,3,4,5,88829,11294752,15162799,Defender
21,81,40,22,98,22,59,54,189,67,1,4,2,81851,6929059,13193939,Goalkeeper
20,55,98,70,71,35,88,92,185,76,1,4,5,59441,8601090,10312518,Goalkeeper
35,90,95,59,29,63,87,97,170,90,3,5,5,114306,10760374,18426172,Defender
17,85,60,87,40,98,82,42,198,85,4,3,1,102874,4527348,17957002,Goalkeeper
21,51,62,55,56,49,46,61,162,70,5,5,3,39977,5281878,12056891,Defender
37,78,68,70,34,59,39,56,181,89,2,4,2,106414,14409439,15498852,Attacker
26,53,75,20,97,84,32,80,176,70,5,3,1,42336,3533014,12685046,Midfielder
31,50,66,52,98,48,43,63,170,62,4,5,5,32467,1075279,11298032,Midfielder
31,68,89,26,93,49,73,57,198,99,3,1,5,86079,2889397,14495993,Goalkeeper
16,75,60,71,28,51,64,59,186,99,5,3,1,71597,5164857,15844319,Goalkeeper
24,74,40,30,63,29,80,38,188,80,1,4,2,57582,6676510,11107060,Goalkeeper
21,59,31,46,58,70,18,42,171,94,2,1,5,54218,3780416,11471624,Midfielder
31,64,56,33,24,27,13,93,172,87,2,3,2,57342,1773449,11411063,Defender
18,71,31,65,44,70,75,67,170,81,4,5,1,52594,6933389,13363855,Defender
35,70,50,95,75,55,42,51,190,77,4,4,5,64599,9447467,14512354,Goalkeeper
19,71,87,29,83,74,41,60,170,82,3,5,4,68173,4878755,13971016,Midfielder
34,85,34,43,91,54,53,71,195,85,4,1,4,105746,4099663,17943362,Goalkeeper
18,83,81,80,71,55,46,91,161,94,5,1,5,84650,5499660,17454407,Attacker
34,79,74,37,95,75,76,93,182,88,2,1,3,72217,9090726,13399394,Defender
35,74,49,28,28,55,69,38,195,70,3,3,5,88963,8457804,15067303,Goalkeeper
22,94,90,36,29,80,68,73,173,60,4,4,5,127145,9672972,20551924,Defender
35,77,67,77,29,81,45,92,196,75,1,1,5,61837,4335220,12490016,Goalkeeper
24,50,49,32,92,44,58,69,186,84,2,5,1,51710,2267348,10155228,Goalkeeper
16,94,54,69,81,83,60,70,171,97,3,4,5,130771,9250956,19588455,Defender
23,53,31,25,79,79,17,79,188,77,2,5,5,44863,3876746,10137735,Goalkeeper
22,56,61,70,38,76,59,49,165,75,5,5,1,36715,4067174,11625791,Defender
33,58,55,55,57,89,50,71,182,78,4,1,5,49797,3059995,12086237,Defender
23,85,70,90,25,71,47,62,169,75,4,4,4,88960,12248499,17507633,Attacker
16,68,96,44,34,75,87,92,193,64,4,2,4,78811,6949236,15205024,Goalkeeper
26,50,30,30,66,82,88,86,171,86,1,3,5,55879,4393170,10256970,Defender
33,59,80,63,64,87,64,94,191,65,5,2,1,58512,5925770,13651812,Goalkeeper
25,85,34,33,24,39,77,81,185,93,1,3,5,73961,3706544,13209458,Goalkeeper
18,58,42,48,97,73,27,35,166,75,5,4,5,79289,3392796,15207067,Midfielder
22,94,48,93,72,20,74,36,191,82,5,1,2,111249,7963742,19764681,Goalkeeper
31,91,41,69,85,29,73,38,192,91,5,4,3,115114,4005047,19274704,Goalkeeper
31,81,77,24,81,42,21,90,177,82,4,2,1,74049,5576629,15172015,Defender
35,81,54,91,42,70,50,63,194,79,4,5,3,94983,10503052,16840513,Goalkeeper
32,55,86,88,63,43,51,64,179,78,4,3,2,78539,10010162,13218825,Attacker
17,87,64,76,71,32,69,49,190,88,1,3,3,103965,10351958,15619761,Goalkeeper
16,66,34,45,65,48,59,87,164,67,3,2,5,83348,9414948,14321452,Defender
31,59,51,25,38,77,90,89,191,88,5,1,4,76936,9999800,14785120,Goalkeeper
27,76,86,35,66,62,92,83,178,77,1,4,1,97814,12009173,14343645,Defender
20,84,76,79,71,29,45,64,160,64,4,2,1,76148,5208357,15786533,Defender
20,70,83,31,43,50,57,76,166,71,4,4,5,68503,6768830,14777623,Defender
24,74,32,94,36,93,80,75,181,69,3,1,3,63271,3909032,13299611,Defender
24,77,82,22,65,33,82,33,193,96,4,5,1,82964,8226714,16072823,Goalkeeper
18,64,60,82,83,53,17,39,169,76,5,4,2,80185,6504620,16014901,Midfielder
34,53,98,83,47,36,34,69,185,91,2,1,2,62966,4705820,10790456,Goalkeeper
31,78,62,81,69,40,16,84,191,63,4,2,3,72970,3796459,15140933,Goalkeeper
31,58,79,25,83,86,17,69,186,90,3,5,2,53878,5248275,11038412,Goalkeeper
18,76,45,38,47,77,90,52,171,85,2,5,4,78358,9208468,14251174,Defender
35,75,68,37,75,98,85,44,199,71,5,5,5,99544,9810416,17478996,Goalkeeper
37,68,75,62,78,27,40,34,182,77,5,3,1,67064,2569034,13993707,Midfielder
16,77,76,92,24,57,21,69,173,67,5,1,5,66116,9317016,16188454,Attacker
35,66,73,22,73,45,66,47,193,91,3,4,3,79047,2423496,13333855,Goalkeeper
26,92,38,91,63,83,75,50,176,79,2,2,5,88500,12054315,15729610,Defender
32,90,79,57,61,49,21,32,165,99,5,5,1,123930,15110636,19981887,Midfielder
23,91,89,87,91,28,36,75,186,72,4,5,1,128282,5334847,20092967,Goalkeeper
19,69,44,95,76,51,55,82,167,82,2,5,3,48676,2842080,11750343,Defender
21,94,65,63,66,30,16,49,192,62,5,1,1,113645,8168355,19950150,Goalkeeper
23,89,92,82,95,53,70,88,194,94,2,2,2,100439,13984735,16330998,Goalkeeper
35,88,98,61,44,37,67,50,176,98,4,1,5,103853,15327783,18153961,Defender
18,72,70,83,63,38,67,80,185,80,1,2,4,70150,2838282,12576437,Goalkeeper
31,81,53,73,34,73,22,54,166,66,5,4,4,70215,5450920,16261644,Attacker
18,82,78,97,70,56,62,97,183,85,4,3,4,79817,3824337,16208013,Goalkeeper
33,54,47,96,72,31,74,39,184,82,3,2,3,54677,3467199,10460757,Goalkeeper
29,92,36,90,53,23,58,96,194,91,5,1,4,98879,14607240,18907949,Goalkeeper
33,83,33,95,96,62,44,38,185,61,1,1,5,103791,15374678,15153653,Goalkeeper
17,89,98,56,27,46,26,58,164,98,4,1,1,101596,8803959,17332817,Attacker
37,60,89,23,96,70,81,66,197,61,4,3,2,83511,4340621,14380543,Goalkeeper
18,52,84,21,89,24,76,67,194,98,2,2,4,55005,5260800,10772220,Goalkeeper
31,82,45,63,40,25,19,88,189,74,5,2,4,85451,5851874,16791088,Goalkeeper
24,60,58,86,26,96,43,86,184,75,1,2,4,47918,6778465,10343241,Goalkeeper
19,65,52,87,98,75,13,89,183,85,3,2,2,81167,10404450,14240575,Goalkeeper
16,67,43,95,75,87,38,57,189,67,2,5,5,94490,6336582,14642250,Goalkeeper
19,79,78,93,68,63,55,57,179,75,5,5,4,68501,2205532,16424945,Attacker
16,59,62,81,61,34,84,75,162,80,1,1,1,68586,10271839,10998463,Defender
29,67,54,20,42,61,55,96,191,98,2,5,3,59153,6625211,11744912,Goalkeeper
36,87,50,36,71,30,86,84,167,70,1,2,2,77668,6297888,13454692,Defender
31,68,46,35,98,92,68,67,182,83,1,2,5,67347,4351605,12112262,Defender
35,85,52,28,72,30,70,47,175,95,2,5,1,91724,2800419,14558808,Defender
23,62,86,72,35,85,77,92,194,77,2,4,2,50808,2462924,11481222,Goalkeeper
22,52,87,92,56,46,75,34,184,82,5,1,2,54463,1672262,13137074,Goalkeeper
18,59,43,78,37,77,43,73,174,72,2,3,3,55296,5624163,11659780,Attacker
32,87,49,28,39,91,14,58,167,98,5,1,3,96827,10612354,18100075,Defender
16,50,59,31,65,40,18,43,193,60,1,1,5,62512,7627435,10544566,Goalkeeper
31,76,48,60,21,40,29,87,184,66,2,1,4,65690,3444778,12092684,Goalkeeper
27,57,82,34,82,91,30,73,178,80,5,5,3,68046,2825032,14013399,Midfielder
34,91,85,85,22,20,26,47,172,75,5,1,5,101436,10960676,19054930,Attacker
37,66,52,94,65,77,21,36,171,73,3,2,2,54759,4927614,12432395,Attacker
37,58,91,30,68,32,91,91,174,61,5,1,4,75712,10227351,14174605,Defender
29,55,62,27,20,92,76,74,182,90,5,2,1,79085,7433351,14369195,Defender
21,92,47,74,41,25,14,45,199,98,3,5,2,122174,10186690,18596112,Goalkeeper
21,74,62,25,33,77,69,93,161,68,4,5,5,61915,5483398,14169389,Defender
28,88,61,72,64,36,62,66,199,73,2,1,1,90174,11170629,15231943,Goalkeeper
34,77,90,39,25,92,61,54,182,69,3,2,2,61653,1985018,14297211,Defender
37,82,83,58,84,31,87,38,164,83,5,2,3,79351,11123849,16365302,Defender
23,86,46,91,40,71,57,84,193,92,5,2,5,103531,11978814,18573513,Goalkeeper
17,58,48,53,23,95,28,57,169,93,2,2,1,77893,10611734,11677504,Attacker
36,67,63,76,22,89,26,38,186,79,1,3,3,94267,13683032,13137909,Goalkeeper
16,70,54,38,49,92,63,41,163,87,3,5,1,89420,5107709,15201526,Defender
30,51,97,90,50,71,77,47,163,63,4,2,4,63153,6277464,12669962,Attacker
16,92,40,50,53,56,44,85,167,93,2,3,4,97791,8637414,17226443,Defender
20,87,45,59,39,22,50,87,165,63,2,3,5,92941,8784252,16590049,Defender
31,89,90,33,73,27,22,80,184,65,3,5,1,85842,3062387,16230491,Goalkeeper
34,85,36,56,44,29,42,61,186,81,5,4,4,76682,10710810,16217579,Goalkeeper
19,92,45,63,34,66,24,77,199,63,5,1,2,101714,14703989,18976364,Goalkeeper
18,86,45,28,57,60,72,37,179,64,4,5,2,105723,11863697,17609043,Defender
32,64,69,77,42,83,24,59,186,70,3,4,4,80166,4889590,13713992,Goalkeeper
32,77,41,39,71,61,40,55,166,94,2,1,4,75232,9363733,13642596,Defender
27,67,64,69,85,62,37,53,182,78,3,1,5,61543,7243708,12873395,Midfielder
29,83,50,39,76,28,19,56,179,70,1,1,5,92926,9195105,13747762,Defender
36,71,79,55,76,33,66,68,193,70,2,3,2,91866,4632686,13520849,Goalkeeper
21,60,72,46,98,23,80,95,188,86,4,2,3,42893,2322289,12110315,Goalkeeper
18,62,46,91,71,21,42,80,164,61,4,1,1,57173,5758955,13415387,Defender
24,53,61,51,54,20,16,79,186,67,2,2,3,59038,2683806,10877262,Goalkeeper
20,71,70,20,93,94,14,74,171,93,5,1,5,51717,6044246,14756174,Midfielder
32,56,35,36,33,84,89,62,176,99,2,3,3,41898,2325842,9991833,Defender
29,92,56,28,33,65,66,48,196,79,2,1,5,99559,13864345,16324706,Goalkeeper
